from,to,weight,year
MaHa,HaRy,3,2019
MaHa,PaPr,3,2019
HaRy,MaHa,3,2019
HaRy,PaPr,3,2019
PaPr,MaHa,3,2019
PaPr,HaRy,3,2019
DaBa,SuCr,3,2019
DaBa,RuBu,3,2019
DaBa,HaDr,1,2019
SuCr,DaBa,3,2019
SuCr,RuBu,3,2019
SuCr,HaDr,1,2019
SuCr,CaLo,1,2019
RuBu,DaBa,3,2019
RuBu,SuCr,3,2019
WSJ,PPG,1,2019
WSJ,MaHa,1,2019
WSJ,PaPr,1,2019
WSJ,DaBa,1,2019
WSJ,MaMi,1,2019
WSJ,RE,1,2019
WSJ,WaLo,1,2019
WSJ,BrSt,1,2019
MaMi,Maal,3,2019
MaMi,NaEl,3,2019
MaMi,HaDr,1,2019
MaMi,LoTu,1,2019
Maal,MaMi,3,2019
Maal,NaEl,3,2019
NaEl,MaMi,3,2019
NaEl,Maal,3,2019
RE,PPG,1,2019
RE,MaHa,1,2019
RE,PaPr,1,2019
RE,DaBa,1,2019
RE,MaMi,1,2019
RE,WaLo,1,2019
RE,BrSt,1,2019
RE,DarBe,1,2019
WaLo,RE,2,2019
WaLo,KySo,3,2019
KySo,RE,2,2019
KySo,WaLo,3,2019
HaDr,SuCr,1,2019
HaDr,MaMi,2,2019
HaDr,NaEl,2,2019
HaDr,CaLo,2,2019
HaDr,BrSt,1,2019
ToMe,CaLo,1,2019
ToMe,BrSt,1,2019
CaLo,DaBa,1,2019
CaLo,SuCr,1,2019
CaLo,MaMi,1,2019
CaLo,HaDr,2,2019
CaLo,ToMe,1,2019
CaLo,DarBe,1,2019
BrSt,DaBa,2,2019
BrSt,HaDr,1,2019
BrSt,ToMe,1,2019
DarBe,CaLo,1,2019
LoTu,NaEl,1,2019
LoTu,CaLo,2,2019