id,name,type,sex,age,study,category,nationality,year,Twitter,
GU,The Guardian US,2,99,99,99,1,1,2014,1,
WaPo,The Washington Post,2,99,99,99,1,1,2014,1,
BG,The Boston Globe,2,99,99,99,2,1,2014,1,
"ChHa
",Chris Hamby,1,1,2,1,3,1,2014,1,"Wurde 2017 nominiert, arbeitet für NYT (mittlerweile) und damals für The Center for Public Integrity; damals 28; hat auch mal für BuzzFeed gearbeitet"
ElSa,Eli Saslow,1,1,2,1,4,1,2014,1,"Arbeitet für WaPo, vier Jahre danach ebenfalls finalist, studierte öffentliche Kommunikation"
WiHo,Will Hobson,1,1,2,4,5,1,2014,1,Arbeiten beide als Kollegen bei der Tampa Bay Times; hat einen BA in Englisch; arbeitet mittlerweile auch für die WaPo; war damals 29 Jahre alt
MiLa,Michael LaForgia,1,1,2,4,5,1,2014,1,Hat später nochmal gewonnen; war damals 30 Jahre alt; arbeitet mittlerweile für die NYT; auch mal für die Palm Beach Post gearbeitet
DaPh,David Philipps,1,1,3,1,6,1,2014,1,"Arbeitet für die Gazette Colorado Springs, mittlerweile für die NYT, 43 Jahre alt, damals 37"
JaSz,Jason Szep,1,1,99,99,7,1,2014,1,Arbeiten beide für Reuters
AnMa,Andrew R.C.Marshall,1,1,4,4,7,3,2014,1,Hat 2018 noch einmal gewonnen
StHe,Stephen Henderson,1,1,4,,9,1,2014,1,arbeitete für die Detroit Free Press; mittlerweile 50
InSa,Inga Saffron,1,2,5,4,10,1,2014,1,arbeitete für den The Philadelphia Inquirer damals; 1957 geboren 
OR,The Oregonian,2,99,99,99,11,1,2014,1,Editorial Staff
KeSi,Kevin Siers,1,1,5,4,12,1,2014,1,Für den Charlotte Observer; damals 59; damals biologie studiert
TyHi,Tyler Hicks,1,1,4,1,13,3,2014,1,Hat 2016 nochmal gewonnen; 2014 für die NYT gewonnen
JosHa,"Josh Hanner
",1,1,3,4,14,1,2014,1,Fotografie Bachelor; für die NYT gewonnen; 34 damals